City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
175,saldanha,0,PT,1538646014,51,41.42,-6.55,61.17,3.71
176,mitu,8,IR,1538646014,19,36.2,46.09,76.2,3.38
177,beloha,0,MG,1538646015,40,-25.17,45.06,85.29,4.61
178,finschhafen,100,PG,1538646015,100,-6.6,147.85,73.41,2.37
179,petropavlovskoye,0,RU,1538643600,70,46.79,142.5,44.6,6.71
180,cherskiy,92,RU,1538646015,89,68.75,161.3,35.79,7.96
181,labuhan,32,ID,1538646016,59,-2.54,115.51,86.01,3.38
182,nizhniy kuranakh,92,RU,1538646016,88,58.84,125.49,37.32,2.48
183,taguatinga,75,BR,1538643600,88,-15.83,-48.06,68.0,4.7
184,opunake,20,NZ,1538646016,100,-39.45,173.86,51.81,12.88
185,leningradskiy,24,RU,1538646017,91,69.38,178.42,37.59,7.4
186,valparaiso,90,US,1538644500,88,41.47,-87.06,75.2,14.99
187,iqaluit,90,CA,1538643600,100,63.75,-68.52,32.0,16.11
188,cockburn town,44,TC,1538646017,100,21.46,-71.14,81.69,12.21
189,ust-karsk,48,RU,1538646018,43,52.71,118.82,62.16,4.5
190,harsin,0,IR,1538643600,9,34.27,47.59,82.4,11.41
191,zhanaozen,0,KZ,1538646018,21,43.35,52.85,87.54,4.94
192,copiapo,90,CL,1538643600,82,-27.37,-70.33,55.4,6.93
193,san ignacio,0,CL,1538643600,87,-36.8,-72.03,42.8,13.87
194,wenceslau braz,36,BR,1538646019,94,-23.87,-49.8,62.88,5.5
195,castro,0,CL,1538646020,100,-42.48,-73.76,33.81,5.73
196,sisimiut,68,GL,1538646020,98,66.94,-53.67,25.71,2.15
197,saskylakh,88,RU,1538646020,89,71.97,114.09,30.21,11.77
198,ucluelet,44,CA,1538646020,92,48.94,-125.55,38.13,2.48
199,thompson,90,CA,1538643600,58,55.74,-97.86,24.8,11.41
200,san carlos de bariloche,0,AR,1538643600,74,-41.13,-71.31,28.4,8.05
201,georgetown,20,GY,1538643600,94,6.8,-58.16,73.4,2.24
202,karangampel,0,ID,1538646022,92,-6.46,108.44,85.29,10.98
203,ponta do sol,36,BR,1538646022,90,-20.63,-46.0,62.16,2.26
204,lufilufi,92,WS,1538646022,98,-13.87,-171.6,82.95,22.39
205,pindiga,8,NG,1538646023,73,9.98,10.93,85.47,9.64
206,broome,40,GB,1538645220,82,52.47,1.45,59.0,8.05
207,hudiksvall,24,SE,1538646023,100,61.73,17.1,41.91,4.38
208,sao joao da barra,20,BR,1538644500,94,-21.64,-41.05,73.4,3.36
209,tamiahua,12,MX,1538646024,100,21.28,-97.45,76.2,6.17
210,kruisfontein,0,ZA,1538646024,74,-34.0,24.73,65.22,7.29
211,carnarvon,0,ZA,1538646024,18,-30.97,22.13,60.45,12.55
212,shahrud,32,IR,1538646025,34,36.42,54.97,75.03,3.6
213,george town,75,MY,1538643600,70,5.42,100.33,87.8,4.7
214,maceio,20,BR,1538643600,88,-9.67,-35.74,73.4,2.24
215,yenagoa,64,NG,1538646025,94,4.92,6.26,80.97,6.73
216,betanzos,0,ES,1538645400,60,43.28,-8.21,71.6,1.12
217,san patricio,36,PY,1538646026,90,-26.98,-56.83,60.54,5.28
218,ornskoldsvik,0,SE,1538644800,64,63.29,18.72,39.2,4.7
